player,team_abbr,minutes,points,rebounds,assists,steals,blocks,team,salary,performance_index,visibility_score,value_index
a'ja wilson,LVA,1247,937,407,122,64,92,Las Vegas Aces,200000,1622,1059,0.00811
dearica hamby,LAS,1374,811,349,144,69,21,Los Angeles Sparks,202000,1394,955,0.006900990099009901
alyssa thomas,PHO,1221,599,344,357,62,17,Pheonix Mercury,215000,1379,956,0.006413953488372093
nneka ogwumike,SEA,1359,803,309,99,50,18,Seattle Storm,195000,1279,902,0.006558974358974359
aliyah boston,IND,1327,660,361,163,52,41,Indiana Feverr,83371,1277,823,0.015317076681340034
kelsey plum,LAS,1508,839,132,247,53,4,Los Angeles Sparks,202000,1275,1086,0.006311881188118812
jackie young,LVA,1336,727,196,226,57,18,Las Vegas Aces,252450,1224,953,0.0048484848484848485
napheesa collier,MIN,1065,755,241,105,54,50,Minnesota Lynx,214284,1205,860,0.005623378320359896
allisha gray,ATL,1451,773,223,147,45,15,Atlanta Dream,164800,1203,920,0.007299757281553398
kelsey mitchell,IND,1381,890,77,150,39,7,Indiana Feverr,269244,1163,1040,0.004319502013043931
sabrina ionescu,NYL,1194,693,185,216,48,16,New York Liberty,205030,1158,909,0.005647953957957372
courtney williams,MIN,1260,599,216,271,55,14,Minnesota Lynx,180000,1155,870,0.006416666666666667
paige bueckers,DAL,1199,692,142,194,57,18,Dallas Wings,78831,1103,886,0.013991957478656874
tina charles,CON,1222,700,248,74,33,19,Connecticut Sun,170000,1074,774,0.006317647058823529
kiki iriafen,WAS,1185,584,376,69,26,7,Washington Mystics,82563,1062,653,0.012862904690963264
brionna jones,ATL,1169,564,319,95,48,36,Atlanta Dream,214466,1062,659,0.004951833857114881
veronica burton,GSV,1292,525,192,265,50,27,Golden State Valkyries,103831,1059,790,0.010199266115129392
kamilla cardoso,CHI,1102,543,341,98,14,47,Chicago Sky,78066,1043,641,0.013360489841928624
satou sabally,PHO,1039,636,231,98,49,13,Pheonix Mercury,215000,1027,734,0.004776744186046512
sonia citron,WAS,1415,657,174,104,55,17,Washington Mystics,78831,1007,761,0.01277416244878284
gabby williams,SEA,1391,510,189,185,99,21,Seattle Storm,225000,1004,695,0.0044622222222222225
chelsea gray,LVA,1368,493,173,239,62,28,Las Vegas Aces,196267,995,732,0.0050696245420778835
angel reese,CHI,947,440,377,110,44,20,Chicago Sky,74909,991,550,0.013229384987117702
breanna stewart,NYL,948,566,203,108,42,42,New York Liberty,208400,961,674,0.004611324376199616
rhyne howard,ATL,1151,577,148,153,51,27,Atlanta Dream,75556,956,730,0.01265286674784266
natasha howard,IND,1060,500,290,66,52,25,Indiana Feverr,214466,933,566,0.004350339914019005
brittney sykes,TOT,1194,550,123,155,48,14,Seattle Storm,195000,890,705,0.004564102564102564
shakira austin,WAS,874,481,242,68,41,43,Washington Mystics,75556,875,549,0.011580814230504527
alanna smith,MIN,1114,404,214,121,55,80,Minnesota Lynx,150000,874,525,0.005826666666666667
ezi magbegor,SEA,1203,353,272,92,30,96,Seattle Storm,186000,843,445,0.004532258064516129
natasha cloud,NYL,1191,414,151,211,49,14,New York Liberty,200000,839,625,0.004195
kayla mcbride,MIN,1220,554,89,137,49,3,Minnesota Lynx,205000,832,691,0.004058536585365854
marina mabrey,CON,1103,504,146,141,24,10,Connecticut Sun,210000,825,645,0.003928571428571429
jonquel jones,NYL,830,423,251,85,15,33,New York Liberty,192500,807,508,0.004192207792207792
naz hillmon,ATL,1122,380,271,105,21,19,Atlanta Dream,66390,796,485,0.011989757493598433
erica wheeler,SEA,1126,455,119,144,56,9,Seattle Storm,78831,783,599,0.009932640712410092
rickea jackson,LAS,1173,558,122,64,23,14,Los Angeles Sparks,78066,781,622,0.01000435528911434
jewell loyd,LVA,1245,491,142,81,52,11,Las Vegas Aces,245508,777,572,0.003164866318001857
ariel atkins,CHI,970,447,114,122,53,24,Chicago Sky,200000,760,569,0.0038
jessica shepard,MIN,835,320,293,104,19,4,Minnesota Lynx,78831,740,424,0.009387170021945682
elizabeth williams,CHI,906,364,223,78,31,39,Chicago Sky,100000,735,442,0.00735
myisha hines-allen,DAL,882,302,240,116,32,18,Dallas Wings,203000,708,418,0.0034876847290640396
saniya rivers,CON,1097,371,118,113,62,38,Connecticut Sun,75643,702,484,0.009280435730999563
arike ogunbowale,DAL,966,450,72,120,39,7,Dallas Wings,249032,688,570,0.0027626971634167495
brittney griner,ATL,810,382,203,33,5,47,Atlanta Dream,214466,670,415,0.0031240383091026085
aneesah morrow,CON,775,314,282,21,32,18,Connecticut Sun,75643,667,335,0.008817735943841465
nalyssa smith,TOT,956,342,231,33,25,29,Las Vegas Aces,75556,660,375,0.00873524273386627
sami whitcomb,PHO,1027,390,113,108,33,7,Pheonix Mercury,125000,651,498,0.005208
lexie hull,IND,1189,317,190,79,51,7,Indiana Feverr,88261,644,396,0.007296540941072501
rachel banham,CHI,1081,396,74,119,26,11,Chicago Sky,95000,626,515,0.006589473684210526
dominique malonga,SEA,600,323,195,36,17,28,Seattle Storm,78831,599,359,0.007598533571818194
